File_Number,Instruments
1787,Piano
1788,Piano
1789,Piano
1790,Piano
1791,Piano
1792,Piano
1793,Piano
1794,Piano
1795,Piano
1796,Piano
1797,Piano
1798,Piano
1799,Piano
1800,Piano
1801,Piano
1802,Piano
1803,Piano
1804,Piano
1805,Piano
1806,Piano
1807,Piano
1808,Piano
1809,Piano
1810,Piano
1811,Piano
1812,Piano
1813,Piano
1814,Piano
1815,Piano
1816,Piano
1817,Piano
1818,Piano
1819,Piano
1820,Piano
1821,Piano
1822,Piano
1823,Piano
1824,Piano
1825,Piano
1826,Piano
1827,Piano
1828,Piano
1829,Piano
1830,Piano
1831,Piano
1832,Piano
1833,Piano
1834,Piano
1835,Piano
1836,Piano
1837,Piano
1838,Piano
1839,Piano
1840,Piano
1841,Piano
1842,Piano
1843,Piano
1844,Piano
1845,Piano
1846,Piano
1847,Piano
1848,Piano
1849,Piano
1850,Piano
1851,Piano
1852,Piano
1853,Piano
1854,Piano
1855,Piano
1856,Piano
1857,Piano
1858,Piano
1859,Piano
1860,Piano
1861,Piano
1862,Piano
1863,Piano
1864,Piano
1865,Piano
1866,Piano
1867,Piano
1868,Piano
1869,Piano
1870,Piano
1871,Piano
1872,Piano
1873,Piano
1874,Piano
1875,Piano
1876,Piano
1877,"Clarinet In B-flat,Piano"
1878,Piano
1879,Piano
1880,Piano
1881,Piano
1882,Piano
1883,Piano
1884,Piano
1885,Piano
1886,"Vocals,Piano"
1887,"Violin,Piano"
1888,Piano
1889,Piano
1890,Piano
1891,Piano
1892,Piano
1893,Piano
1894,Piano
1895,Piano
1896,Piano
1897,Piano
1898,Piano
